iter	Logloss
0	0.462335258
1	0.3641459338
2	0.2534814175
3	0.2172730908
4	0.188691485
5	0.1456103758
6	0.1187688197
7	0.1023509143
8	0.08893471313
9	0.08219110397
10	0.07768566019
11	0.07443418377
12	0.07207165251
13	0.06934378786
14	0.0680900858
15	0.06643238814
16	0.06512844783
17	0.06435547506
18	0.0638515448
19	0.06311601506
20	0.06266400125
21	0.06229060856
22	0.06189981846
23	0.06152135953
24	0.06135692942
25	0.06108901857
26	0.06093620392
27	0.06076432336
28	0.06065295864
29	0.06054020666
30	0.06039816794
31	0.06030463392
32	0.06016579775
33	0.06004575638
34	0.0599452477
35	0.05988897606
36	0.05978992297
37	0.05968178596
38	0.05964113046
39	0.05956324321
40	0.05950957298
41	0.05945824839
42	0.05939131664
43	0.05930130805
44	0.05921043292
45	0.05913044038
46	0.05909688522
47	0.05902557929
48	0.05893892253
49	0.05887406158
50	0.0588054555
51	0.05870371427
52	0.05866084243
53	0.05858588762
54	0.05851258914
55	0.05844033808
56	0.05836691602
57	0.0583141187
58	0.0582544215
59	0.05820628384
60	0.05819386852
61	0.05817402704
62	0.05812270239
63	0.05806854382
64	0.05802973586
65	0.05797244407
66	0.05792646452
67	0.05786406351
68	0.05780661631
69	0.05774503543
70	0.05771140195
71	0.05766941971
72	0.05763913577
73	0.05763848618
74	0.0575483526
75	0.05749951728
76	0.05744556432
77	0.05740052801
78	0.05734581702
79	0.05729857278
80	0.05723630548
81	0.05718211067
82	0.05713451038
83	0.05710709064
84	0.05705561373
85	0.05703539937
86	0.05696744938
87	0.05690792819
88	0.05685483707
89	0.05678603004
90	0.05676197767
91	0.05671188257
92	0.05665999537
93	0.05660682271
94	0.05653596963
95	0.05650293725
96	0.05641740453
97	0.05636733067
98	0.05631679879
99	0.05626070725
100	0.05619856001
101	0.05616603017
102	0.05614795724
103	0.05614258608
104	0.05609216026
105	0.05609215883
106	0.0560418255
107	0.05599151743
108	0.05594518497
109	0.05587543773
110	0.05582847626
111	0.05578327257
112	0.05574902939
113	0.05571647871
114	0.05568610931
115	0.05561594135
116	0.0555604264
117	0.05550920505
118	0.05546228535
119	0.05541095559
120	0.05536248321
121	0.05532684368
122	0.05526852686
123	0.05520238422
124	0.05514981776
125	0.05512081752
126	0.0550863243
127	0.0550203063
128	0.05495698901
129	0.05490202367
130	0.05486927606
131	0.05482295006
132	0.05476944883
133	0.05474191525
134	0.05470421343
135	0.05465381294
136	0.05463041673
137	0.05459366241
138	0.05452974208
139	0.05448274484
140	0.05444728188
141	0.05442134912
142	0.05435842217
143	0.05433280454
144	0.05429125259
145	0.05425124995
146	0.05421949469
147	0.054202352
148	0.05415727923
149	0.05407762894
150	0.05402004717
151	0.05398768135
152	0.05396776493
153	0.05394960619
154	0.05392789687
155	0.05390866702
156	0.05388177903
157	0.05385935138
158	0.05382900465
159	0.05380887597
160	0.05379608212
161	0.05376746991
162	0.05374574811
163	0.05370188887
164	0.05368326481
165	0.053669314
166	0.05363942538
167	0.05361085659
168	0.05357894083
169	0.05353259179
170	0.0534951978
171	0.05347012186
172	0.05345785721
173	0.0534092695
174	0.05335503332
175	0.05330848671
176	0.05328374621
177	0.05323037454
178	0.05320283822
179	0.0531551524
180	0.05310759817
181	0.05308259605
182	0.05306794643
183	0.05302221433
184	0.05295426868
185	0.05293635075
186	0.05290921211
187	0.05288069724
188	0.05283638065
189	0.0527952396
190	0.05275002422
191	0.05269247684
192	0.05264952146
193	0.05262780137
194	0.05260546673
195	0.05255712915
196	0.05253467184
197	0.05247537296
198	0.05244269322
199	0.0523720555
200	0.05234989378
201	0.05232001728
202	0.05228322288
203	0.05226387907
204	0.05220471085
205	0.05215786903
206	0.05212231275
207	0.05208568261
208	0.05206965561
209	0.05204462255
210	0.05200095766
211	0.05198152787
212	0.05195258022
213	0.05191953586
214	0.05188324651
215	0.05186733053
216	0.05185335786
217	0.05181151171
218	0.05178015173
219	0.05176827464
220	0.05174265756
221	0.05168156763
222	0.05163067656
223	0.05159528144
224	0.05155106792
225	0.05152911486
226	0.05149340553
227	0.05146639968
228	0.05141787956
229	0.05136908744
230	0.05132351703
231	0.05126696894
232	0.05123460966
233	0.05117656929
234	0.05112423539
235	0.05110254723
236	0.05108624687
237	0.05104370627
238	0.05100774458
239	0.0509844103
240	0.05096538719
241	0.05094421856
242	0.05089352404
243	0.05085688308
244	0.05083816439
245	0.05079436255
246	0.0507801243
247	0.05074645236
248	0.05070434565
249	0.05067789392
250	0.0506623225
251	0.05063042251
252	0.05062233131
253	0.05057132676
254	0.05054290579
255	0.05053311069
256	0.05048785511
257	0.05044945419
258	0.05041731728
259	0.050378961
260	0.05034619463
261	0.05032386363
262	0.05030885712
263	0.05029392904
264	0.05027091109
265	0.05025046741
266	0.0502198332
267	0.05018664704
268	0.05017569185
269	0.05014942025
270	0.0501302966
271	0.05009577475
272	0.05006129855
273	0.05002458072
274	0.04998919531
275	0.04995807489
276	0.04993977386
277	0.04991012848
278	0.04988256097
279	0.04986799399
280	0.04984515419
281	0.04982654469
282	0.04981850382
283	0.04979572771
284	0.04978150103
285	0.04973829318
286	0.04971498896
287	0.04970037924
288	0.04969153951
289	0.04967785654
290	0.04964516477
291	0.049593432
292	0.04957121281
293	0.0495192432
294	0.04949851519
295	0.04946638881
296	0.04942488136
297	0.04940882019
298	0.04937187912
299	0.04934532142
300	0.0493290529
301	0.04931156569
302	0.04930783405
303	0.0492987711
304	0.0492900725
305	0.0492640637
306	0.04924391176
307	0.04922047133
308	0.04920822344
309	0.0491721989
310	0.04912937483
311	0.04908542761
312	0.04906889422
313	0.04906445365
314	0.04904845622
315	0.04901133076
316	0.04899699634
317	0.04899000718
318	0.04898035433
319	0.04894802573
320	0.04891019752
321	0.04889867189
322	0.04886214891
323	0.04881463591
324	0.04879865527
325	0.04877308136
326	0.04873226626
327	0.04868727722
328	0.04865408085
329	0.04863426874
330	0.04860791585
331	0.0485836632
332	0.04854965879
333	0.04853389462
334	0.04851820062
335	0.04848368265
336	0.04843943998
337	0.04842279902
338	0.04839062754
339	0.0483517965
340	0.04831632392
341	0.04830456119
342	0.04828887204
343	0.04827511044
344	0.04825006244
345	0.04822403887
346	0.04815919601
347	0.04812309207
348	0.04810145335
349	0.04809111995
350	0.04807139391
351	0.04805451034
352	0.04803506495
353	0.04800382747
354	0.0479828874
355	0.04797022854
356	0.04796596936
357	0.04795492222
358	0.04793071947
359	0.04790422773
360	0.04788656574
361	0.04787359214
362	0.04786735003
363	0.04783463986
