iter	Passed	Remaining
291	4705	11409
292	4723	11396
293	4741	11386
294	4760	11376
295	4779	11366
296	4798	11357
297	4816	11345
298	4836	11338
299	4857	11334
300	4877	11326
301	4897	11318
302	4918	11314
303	4936	11302
304	4956	11294
305	4977	11287
306	4998	11282
307	5017	11273
308	5036	11263
309	5057	11256
310	5077	11248
311	5097	11239
312	5116	11230
313	5135	11220
314	5156	11213
315	5177	11206
316	5198	11200
317	5217	11190
318	5237	11180
319	5258	11173
320	5277	11163
321	5297	11154
322	5317	11144
323	5337	11136
324	5357	11127
325	5377	11117
326	5396	11106
327	5415	11095
328	5436	11087
329	5455	11076
330	5474	11065
331	5493	11053
332	5513	11044
333	5532	11032
334	5551	11019
335	5571	11009
336	5589	10997
337	5610	10988
338	5630	10979
339	5650	10968
340	5669	10957
341	5689	10947
342	5710	10938
343	5732	10931
344	5755	10927
345	5777	10919
346	5798	10911
347	5819	10903
348	5840	10893
349	5860	10883
350	5880	10872
351	5900	10861
352	5921	10854
353	5940	10841
354	5959	10828
355	5978	10814
356	5996	10800
357	6014	10785
358	6033	10772
359	6051	10757
360	6068	10742
361	6086	10726
362	6102	10709
363	6123	10699
364	6142	10685
365	6159	10669
366	6176	10652
367	6194	10639
368	6215	10627
369	6235	10617
370	6255	10605
371	6276	10596
372	6296	10585
373	6316	10571
374	6335	10559
375	6354	10546
376	6374	10533
377	6394	10522
378	6415	10511
379	6436	10501
380	6457	10490
381	6479	10482
382	6498	10468
383	6517	10455
384	6535	10440
385	6553	10425
386	6571	10408
387	6592	10398
388	6610	10383
389	6629	10368
390	6647	10353
391	6664	10337
392	6681	10320
393	6698	10303
394	6717	10288
395	6737	10276
396	6755	10261
397	6773	10245
398	6791	10230
399	6811	10217
400	6829	10201
401	6847	10186
402	6864	10169
403	6881	10151
404	6897	10134
405	6912	10114
406	6928	10095
407	6945	10077
408	6961	10058
409	6977	10041
410	6994	10023
411	7010	10005
412	7026	9986
413	7041	9967
414	7058	9950
415	7076	9933
416	7093	9917
417	7110	9900
418	7126	9882
419	7143	9864
420	7159	9847
421	7176	9829
422	7193	9812
423	7209	9794
424	7226	9776
425	7242	9759
426	7260	9742
427	7276	9725
428	7293	9707
429	7310	9690
430	7330	9677
431	7347	9660
432	7364	9643
433	7380	9625
434	7397	9608
435	7414	9591
436	7429	9571
437	7446	9555
438	7462	9536
439	7478	9518
440	7497	9503
441	7514	9486
442	7530	9468
443	7546	9450
444	7563	9433
445	7581	9416
446	7599	9401
447	7618	9386
448	7634	9369
449	7652	9353
450	7670	9336
451	7687	9320
452	7704	9302
453	7720	9285
454	7738	9268
455	7755	9252
456	7772	9234
457	7788	9217
458	7805	9200
459	7822	9183
460	7840	9166
461	7855	9147
462	7872	9130
463	7886	9110
464	7902	9092
465	7919	9074
466	7935	9056
467	7952	9039
468	7969	9022
469	7986	9006
470	8003	8988
471	8019	8971
472	8036	8953
473	8052	8935
474	8068	8917
475	8084	8899
476	8100	8882
477	8118	8865
478	8135	8848
479	8152	8831
480	8169	8814
481	8185	8797
482	8202	8780
483	8218	8762
484	8234	8744
485	8250	8725
486	8267	8709
487	8283	8691
488	8300	8673
489	8315	8655
490	8332	8637
491	8349	8620
492	8364	8602
493	8381	8584
494	8397	8567
495	8414	8549
496	8431	8532
497	8447	8514
498	8463	8497
499	8479	8479
500	8495	8461
501	8512	8444
502	8531	8429
503	8547	8412
504	8563	8394
505	8580	8376
506	8596	8359
507	8611	8340
508	8627	8322
509	8643	8304
510	8659	8286
511	8674	8267
512	8690	8249
513	8706	8232
514	8723	8215
515	8740	8198
516	8756	8180
517	8772	8163
518	8788	8145
519	8804	8127
520	8820	8109
521	8836	8091
522	8852	8073
523	8868	8056
524	8884	8038
525	8901	8021
526	8916	8003
527	8933	7985
528	8949	7968
529	8965	7950
530	8981	7932
531	8998	7915
532	9015	7898
533	9030	7880
534	9046	7863
535	9062	7844
536	9078	7827
537	9093	7809
538	9108	7790
539	9121	7770
540	9136	7751
541	9151	7733
542	9166	7714
543	9183	7698
544	9200	7681
545	9216	7663
546	9232	7645
547	9248	7628
548	9264	7610
549	9280	7593
550	9296	7575
551	9309	7555
552	9326	7538
553	9342	7521
554	9358	7503
555	9373	7485
556	9389	7468
557	9406	7450
558	9423	7433
559	9440	7417
560	9457	7400
561	9473	7383
562	9490	7366
563	9506	7349
564	9523	7331
565	9539	7315
566	9556	7298
567	9573	7281
568	9589	7263
569	9605	7246
570	9621	7228
571	9637	7211
572	9653	7193
573	9668	7175
574	9682	7156
575	9697	7138
576	9714	7121
577	9729	7103
578	9745	7086
579	9762	7069
580	9779	7052
581	9796	7036
582	9813	7018
583	9829	7001
584	9845	6984
585	9861	6967
586	9878	6950
587	9893	6932
588	9909	6915
589	9924	6896
590	9940	6879
591	9957	6862
592	9973	6845
593	9988	6827
594	10003	6809
595	10019	6791
596	10034	6773
597	10050	6756
598	10065	6738
599	10081	6720
600	10097	6703
601	10113	6686
602	10129	6668
603	10145	6651
604	10161	6634
605	10189	6625
606	10206	6607
607	10222	6590
608	10240	6574
609	10256	6557
610	10273	6540
611	10290	6523
612	10306	6506
613	10322	6489
614	10340	6473
615	10357	6456
616	10374	6439
617	10391	6423
618	10407	6406
619	10425	6389
620	10442	6372
621	10459	6356
622	10475	6338
623	10491	6321
624	10508	6304
625	10524	6288
626	10541	6270
627	10558	6254
628	10574	6237
629	10591	6220
630	10608	6203
631	10624	6186
632	10640	6169
633	10656	6152
634	10674	6135
635	10690	6118
636	10706	6101
637	10720	6083
638	10737	6066
639	10753	6049
640	10771	6032
641	10787	6015
642	10804	5998
643	10821	5982
644	10835	5963
645	10851	5946
646	10867	5929
647	10884	5912
648	10898	5894
649	10915	5877
650	10932	5860
651	10951	5845
652	10966	5827
653	10981	5809
654	10997	5792
655	11014	5775
656	11029	5758
657	11046	5741
658	11063	5724
659	11078	5707
660	11094	5689
661	11110	5672
662	11125	5655
663	11140	5637
664	11156	5620
665	11175	5604
666	11191	5587
667	11205	5569
668	11219	5551
669	11231	5532
670	11246	5514
671	11263	5497
672	11279	5480
673	11294	5463
674	11310	5446
675	11327	5429
676	11344	5412
677	11360	5395
678	11373	5376
679	11384	5357
680	11395	5338
681	11410	5320
682	11427	5303
683	11443	5286
684	11460	5270
685	11476	5253
686	11493	5236
687	11508	5219
688	11525	5202
689	11537	5183
690	11555	5167
691	11571	5150
692	11587	5133
693	11602	5115
694	11619	5099
695	11636	5082
696	11653	5066
697	11670	5049
698	11685	5031
699	11701	5014
700	11714	4996
701	11727	4978
702	11743	4961
703	11759	4944
704	11772	4925
705	11790	4909
706	11804	4892
707	11822	4875
708	11838	4859
709	11855	4842
710	11872	4825
711	11888	4808
712	11905	4792
713	11922	4775
714	11938	4758
715	11955	4741
716	11971	4725
717	11986	4707
718	12002	4690
719	12018	4673
720	12033	4656
721	12048	4639
722	12064	4622
723	12080	4605
724	12095	4588
725	12111	4571
726	12126	4553
727	12144	4537
728	12160	4520
729	12177	4504
730	12193	4487
731	12210	4470
732	12227	4453
733	12243	4437
734	12260	4420
735	12276	4403
736	12293	4386
737	12309	4370
738	12326	4353
739	12343	4336
740	12359	4319
741	12376	4303
742	12393	4286
743	12411	4270
744	12427	4253
745	12444	4237
746	12458	4219
747	12471	4201
748	12487	4184
749	12503	4167
750	12516	4149
751	12532	4133
752	12550	4116
753	12565	4099
754	12582	4083
755	12598	4066
756	12615	4049
757	12631	4032
758	12648	4016
759	12661	3998
760	12676	3981
761	12690	3963
762	12704	3946
763	12717	3928
764	12731	3911
765	12750	3895
766	12767	3878
767	12780	3860
768	12794	3843
769	12810	3826
770	12826	3809
771	12842	3792
772	12858	3775
773	12874	3759
774	12890	3742
775	12907	3725
776	12923	3708
777	12938	3692
778	12952	3674
779	12965	3656
780	12978	3639
781	12995	3622
782	13011	3605
783	13027	3589
784	13044	3572
785	13060	3555
786	13076	3539
787	13092	3522
788	13109	3505
789	13125	3489
790	13142	3472
791	13159	3455
792	13175	3439
793	13191	3422
794	13208	3405
795	13224	3389
796	13239	3372
797	13255	3355
798	13269	3338
799	13285	3321
800	13302	3304
801	13316	3287
802	13333	3270
803	13349	3254
804	13368	3238
805	13384	3221
806	13398	3204
807	13413	3187
808	13429	3170
809	13446	3154
810	13463	3137
811	13479	3120
812	13496	3104
813	13510	3087
814	13526	3070
815	13540	3053
816	13558	3036
817	13574	3020
818	13587	3002
819	13600	2985
820	13617	2968
821	13633	2952
822	13650	2935
823	13666	2919
824	13683	2902
825	13699	2885
826	13716	2869
827	13733	2852
828	13749	2836
829	13765	2819
830	13782	2802
831	13797	2786
832	13813	2769
833	13829	2752
834	13845	2736
835	13861	2719
836	13877	2702
837	13891	2685
838	13905	2668
839	13922	2651
840	13937	2635
841	13951	2618
842	13968	2601
843	13981	2584
844	13995	2567
845	14011	2550
846	14024	2533
847	14038	2516
848	14050	2499
849	14064	2482
850	14081	2465
851	14097	2448
852	14113	2432
853	14130	2415
854	14145	2399
855	14163	2382
856	14179	2365
857	14195	2349
858	14207	2332
859	14223	2315
860	14239	2298
861	14256	2282
862	14273	2265
863	14289	2249
864	14306	2232
865	14322	2216
866	14339	2199
867	14355	2183
868	14372	2166
869	14389	2150
870	14406	2133
871	14423	2117
872	14439	2100
873	14456	2084
874	14473	2067
875	14490	2051
876	14506	2034
877	14522	2017
878	14539	2001
879	14555	1984
880	14570	1968
881	14581	1950
882	14591	1933
883	14602	1916
884	14612	1898
885	14623	1881
886	14633	1864
887	14644	1847
888	14654	1829
889	14664	1812
890	14675	1795
891	14685	1778
892	14701	1761
893	14717	1745
894	14733	1728
895	14749	1712
896	14765	1695
897	14780	1678
898	14795	1662
899	14811	1645
900	14827	1629
901	14842	1612
902	14858	1596
903	14873	1579
904	14889	1562
905	14904	1546
906	14919	1529
907	14934	1513
908	14949	1496
909	14965	1480
910	14981	1463
911	14998	1447
912	15013	1430
913	15026	1413
914	15036	1396
915	15046	1379
916	15057	1362
917	15071	1346
918	15088	1329
919	15103	1313
920	15113	1296
921	15128	1279
922	15139	1262
923	15149	1246
924	15162	1229
925	15172	1212
926	15182	1195
927	15192	1178
928	15202	1161
929	15212	1145
930	15222	1128
931	15232	1111
932	15243	1094
933	15253	1077
934	15263	1061
935	15272	1044
936	15282	1027
937	15295	1011
938	15306	994
939	15316	977
940	15325	960
941	15336	944
942	15346	927
943	15356	911
944	15368	894
945	15380	877
946	15391	861
947	15402	844
948	15413	828
949	15423	811
950	15434	795
951	15445	778
952	15456	762
953	15467	745
954	15478	729
955	15489	712
956	15505	696
957	15516	680
958	15527	663
959	15538	647
960	15549	631
961	15559	614
962	15569	598
963	15579	581
964	15590	565
965	15602	549
966	15612	532
967	15623	516
968	15635	500
969	15645	483
970	15655	467
971	15665	451
972	15675	434
973	15685	418
974	15696	402
975	15706	386
976	15716	369
977	15726	353
978	15736	337
979	15746	321
980	15759	305
981	15769	289
982	15785	272
983	15795	256
984	15811	240
985	15827	224
986	15842	208
987	15855	192
988	15867	176
989	15877	160
990	15887	144
991	15898	128
992	15908	112
993	15918	96
994	15928	80
995	15939	64
996	15951	47
997	15961	31
998	15972	15
999	15982	0
